ts,i_chan0(400),chan0,amplitude
2015-10-17 01:08:25:066818,0,-20.0,0.117
2015-10-17 01:08:25:272614,1,-19.9,0.117
2015-10-17 01:08:25:477351,2,-19.8,0.115
2015-10-17 01:08:25:683882,3,-19.7,0.111
2015-10-17 01:08:25:890434,4,-19.6,0.106
2015-10-17 01:08:25:890434,4,-19.6,0.106
2015-10-17 01:08:26:096571,5,-19.5,0.099
2015-10-17 01:08:26:302896,6,-19.4,0.092
2015-10-17 01:08:26:509334,7,-19.3,0.085
2015-10-17 01:08:26:712697,8,-19.2,0.077
2015-10-17 01:08:26:914103,9,-19.1,0.071
2015-10-17 01:08:26:914103,9,-19.1,0.071
2015-10-17 01:08:27:117491,10,-19.0,0.064
2015-10-17 01:08:27:323689,11,-18.9,0.058
2015-10-17 01:08:27:528680,12,-18.8,0.053
2015-10-17 01:08:27:734919,13,-18.7,0.048
2015-10-17 01:08:27:941441,14,-18.6,0.044
2015-10-17 01:08:27:941441,14,-18.6,0.044
2015-10-17 01:08:28:147449,15,-18.5,0.04
2015-10-17 01:08:28:354581,16,-18.4,0.037
2015-10-17 01:08:28:560971,17,-18.3,0.034
2015-10-17 01:08:28:767400,18,-18.2,0.031
2015-10-17 01:08:28:973360,19,-18.1,0.029
2015-10-17 01:08:28:973360,19,-18.1,0.029
2015-10-17 01:08:29:179899,20,-18.0,0.027
2015-10-17 01:08:29:386045,21,-17.9,0.025
2015-10-17 01:08:29:589390,22,-17.8,0.023
2015-10-17 01:08:29:791675,23,-17.7,0.022
2015-10-17 01:08:29:995402,24,-17.6,0.02
2015-10-17 01:08:29:995402,24,-17.6,0.02
2015-10-17 01:08:30:197972,25,-17.5,0.019
2015-10-17 01:08:30:399327,26,-17.4,0.018
2015-10-17 01:08:30:602835,27,-17.3,0.017
2015-10-17 01:08:30:808404,28,-17.2,0.016
2015-10-17 01:08:31:012270,29,-17.1,0.015
2015-10-17 01:08:31:012270,29,-17.1,0.015
2015-10-17 01:08:31:218347,30,-17.0,0.014
2015-10-17 01:08:31:425131,31,-16.9,0.013
2015-10-17 01:08:31:631597,32,-16.8,0.013
2015-10-17 01:08:31:838021,33,-16.7,0.012
2015-10-17 01:08:32:044581,34,-16.6,0.011
2015-10-17 01:08:32:044581,34,-16.6,0.011
2015-10-17 01:08:32:250560,35,-16.5,0.011
2015-10-17 01:08:32:457495,36,-16.4,0.01
2015-10-17 01:08:32:663925,37,-16.3,0.01
2015-10-17 01:08:32:870353,38,-16.2,0.01
2015-10-17 01:08:33:076791,39,-16.1,0.009
2015-10-17 01:08:33:076791,39,-16.1,0.009
2015-10-17 01:08:33:280467,40,-16.0,0.009
2015-10-17 01:08:33:486903,41,-15.9,0.008
2015-10-17 01:08:33:691401,42,-15.8,0.008
2015-10-17 01:08:33:897834,43,-15.7,0.008
2015-10-17 01:08:34:104460,44,-15.6,0.007
2015-10-17 01:08:34:104460,44,-15.6,0.007
2015-10-17 01:08:34:310444,45,-15.5,0.007
2015-10-17 01:08:34:517390,46,-15.4,0.007
2015-10-17 01:08:34:723954,47,-15.3,0.007
2015-10-17 01:08:34:930402,48,-15.2,0.006
2015-10-17 01:08:35:136816,49,-15.1,0.006
2015-10-17 01:08:35:136816,49,-15.1,0.006
2015-10-17 01:08:35:343415,50,-15.0,0.006
2015-10-17 01:08:35:549375,51,-14.9,0.006
2015-10-17 01:08:35:756330,52,-14.8,0.006
2015-10-17 01:08:35:962227,53,-14.7,0.007
2015-10-17 01:08:36:169303,54,-14.6,0.007
2015-10-17 01:08:36:169303,54,-14.6,0.007
2015-10-17 01:08:36:375811,55,-14.5,0.007
2015-10-17 01:08:36:581095,56,-14.4,0.007
2015-10-17 01:08:36:786794,57,-14.3,0.008
2015-10-17 01:08:36:987164,58,-14.2,0.008
2015-10-17 01:08:37:189052,59,-14.1,0.008
2015-10-17 01:08:37:189052,59,-14.1,0.008
2015-10-17 01:08:37:390893,60,-14.0,0.009
2015-10-17 01:08:37:598052,61,-13.9,0.009
2015-10-17 01:08:37:804445,62,-13.8,0.01
2015-10-17 01:08:38:010402,63,-13.7,0.01
2015-10-17 01:08:38:217518,64,-13.6,0.01
2015-10-17 01:08:38:217518,64,-13.6,0.01
2015-10-17 01:08:38:421855,65,-13.5,0.011
2015-10-17 01:08:38:623521,66,-13.4,0.011
2015-10-17 01:08:38:827320,67,-13.3,0.012
2015-10-17 01:08:39:030795,68,-13.2,0.013
2015-10-17 01:08:39:233954,69,-13.1,0.013
2015-10-17 01:08:39:233954,69,-13.1,0.013
2015-10-17 01:08:39:438425,70,-13.0,0.014
2015-10-17 01:08:39:641976,71,-12.9,0.015
2015-10-17 01:08:39:846889,72,-12.8,0.016
2015-10-17 01:08:40:047851,73,-12.7,0.017
2015-10-17 01:08:40:250781,74,-12.6,0.018
